b,30.83,0,w,v,1.25,t,t.1,1,f,g.1,202,0.1,+
0,327,4.46,10,3,3.04,1,1,6,0,0,117,560,0
0,89,0.5,10,3,1.5,1,0,0,0,0,73,824,0
1,125,1.54,12,7,3.75,1,1,5,1,0,1,3,0
1,43,5.625,12,7,1.71,1,0,0,0,2,8,0,0
1,167,4.0,9,7,2.5,1,0,0,1,0,95,0,0
1,178,1.04,11,3,6.5,1,0,0,1,0,25,31285,0
0,74,11.585,2,7,0.04,1,0,0,0,0,158,1349,0
1,309,0.5,8,3,3.96,1,0,0,0,0,34,314,0
1,254,4.915,12,7,3.165,1,0,0,1,0,139,1442,0
1,64,0.83,1,3,2.165,0,0,0,1,0,10,0,0
1,145,1.835,1,3,4.335,1,0,0,0,0,66,200,0
0,219,6.0,8,7,1.0,1,0,0,1,0,0,0,0
1,281,6.04,8,7,0.04,0,0,0,0,0,0,2690,0
0,269,10.5,10,7,5.0,1,1,7,1,0,0,0,0
1,210,4.415,8,7,0.25,1,1,10,1,0,85,0,0
1,129,0.875,9,7,0.96,1,1,3,1,0,107,0,0
0,78,5.875,10,7,3.17,1,1,10,0,0,8,245,0
1,61,0.25,3,3,0.665,1,0,0,1,0,0,0,0
0,34,8.585,2,3,0.75,1,1,7,0,0,166,0,0
1,94,11.25,1,7,2.5,1,1,17,0,0,40,1208,0
1,78,1.0,1,7,0.835,1,0,0,0,2,79,0,0
0,279,8.0,1,7,7.875,1,1,6,1,0,0,1260,0
0,121,14.5,13,3,3.085,1,1,1,0,0,8,11,0
0,243,6.5,10,7,0.5,1,1,3,1,0,18,0,0
0,3,0.585,1,3,1.5,1,1,2,0,0,1,0,0
0,273,13.0,6,0,5.165,1,1,9,1,0,0,0,0
1,317,18.5,3,0,15.0,1,1,17,1,0,0,0,0
1,321,8.5,4,3,7.0,1,1,3,0,0,0,0,0
1,251,1.04,12,7,5.0,1,1,6,1,0,135,10000,0
1,138,14.79,0,7,5.04,1,1,5,1,0,27,0,0
1,250,9.79,13,3,7.96,1,1,8,0,0,0,0,0
1,290,7.585,6,0,7.585,1,1,15,1,0,0,5000,0
0,211,5.125,4,7,5.0,1,0,0,1,0,0,4000,0
0,70,10.75,10,7,0.415,1,1,5,1,0,0,560,0
1,125,1.5,12,7,2.0,1,1,11,1,0,120,35,0
1,119,1.585,2,3,1.835,1,1,12,1,0,145,713,0
0,75,11.75,13,3,0.5,1,1,2,1,0,79,551,0
1,124,0.585,2,7,0.25,1,1,2,0,0,66,500,0
1,310,9.415,5,2,14.415,1,1,11,1,0,78,300,0
1,187,9.17,1,7,4.5,1,1,12,1,0,0,221,0
1,136,15.0,1,3,5.335,1,1,11,0,0,0,2283,0
1,142,1.415,12,3,0.75,1,1,1,0,0,60,100,0
1,233,13.915,12,7,8.625,1,1,6,1,0,151,0,0
1,315,28.0,1,7,28.5,1,1,40,0,0,0,15,0
1,308,6.75,1,3,2.625,1,1,11,1,0,0,284,0
0,242,2.04,10,3,0.125,1,1,23,1,0,126,1236,0
1,165,4.46,2,3,6.04,1,1,3,0,0,82,300,0
1,246,1.54,6,0,3.5,0,0,0,0,0,48,0,0
1,84,0.665,1,7,0.165,0,0,0,0,0,1,0,0
0,103,0.5,1,3,0.875,1,0,0,1,0,133,0,0
1,106,1.0,10,7,1.75,1,0,0,1,0,73,0,0
1,214,2.04,12,7,0.04,1,0,0,1,0,110,5800,0
1,195,2.5,12,7,0.0,1,0,0,1,0,58,200,0
1,188,3.0,2,3,7.415,1,0,0,1,0,0,0,0
1,79,11.625,12,7,0.835,1,0,0,1,0,23,300,0
1,77,0.0,2,7,0.085,1,0,0,0,0,0,0,0
1,264,0.5,6,3,5.0,1,0,0,1,0,85,0,0
1,197,4.5,13,3,5.75,0,0,0,1,2,152,0,0
1,260,3.0,10,3,6.0,1,1,11,0,0,158,0,0
1,318,12.25,9,7,1.25,1,1,4,1,0,40,0,0
1,162,16.165,3,7,3.0,1,1,9,0,0,61,730,0
0,80,0.79,10,7,1.5,1,1,2,1,0,158,400,0
0,46,0.835,10,7,1.585,1,1,1,0,0,0,0,0
1,113,4.25,2,7,4.29,1,1,1,1,0,8,0,0
1,187,1.54,2,7,1.54,1,1,1,1,0,140,50000,0
0,202,1.0,1,7,2.0,1,1,11,0,0,0,456,0
1,100,0.375,9,7,0.25,1,1,3,0,0,66,15108,0
1,36,6.5,12,3,1.46,1,1,7,0,0,158,2954,0
1,197,25.125,13,3,1.625,1,1,1,1,0,137,500,0
1,170,7.5,4,0,1.585,1,0,0,1,2,115,0,1
1,194,4.0,3,0,12.5,1,0,0,1,0,0,0,1
0,222,5.0,2,7,13.5,1,0,0,1,0,167,0,1
1,263,0.5,9,7,10.75,1,0,0,0,2,110,0,1
1,265,7.0,1,7,1.625,0,0,0,0,0,23,2,1
1,48,5.29,10,7,0.375,1,1,1,0,0,23,0,1
1,186,6.5,0,7,0.125,1,0,0,1,0,122,0,1
0,34,0.585,0,7,0.585,1,0,0,1,0,23,0,1
1,59,1.165,8,7,2.5,1,1,1,0,0,34,20,1
1,57,9.75,1,7,0.25,1,0,0,0,0,15,0,1
1,291,19.0,5,2,0.0,1,1,1,0,0,165,0,1
0,123,1.5,9,7,2.0,1,0,0,0,2,96,0,1
1,234,0.5,9,7,0.25,1,0,0,0,2,74,0,1
0,71,3.5,3,7,3.0,1,0,0,1,0,79,0,1
1,119,0.625,0,7,0.455,1,0,0,1,0,40,0,1
1,212,4.0,1,0,5.0,1,0,0,1,2,73,0,1
1,71,0.375,3,7,0.875,1,0,0,1,2,163,0,1
1,102,2.21,0,7,4.0,1,0,0,0,0,37,0,1
1,185,4.5,0,7,1.0,1,0,0,1,0,60,0,1
0,288,1.5,7,4,0.0,1,0,0,1,0,1,27,1
1,333,12.75,1,3,5.0,1,0,0,0,0,5,0,1
1,160,15.5,1,7,0.5,1,0,0,0,0,8,0,1
1,71,5.0,0,7,8.5,1,0,0,0,0,0,0,1
1,302,1.375,1,3,9.46,1,0,0,1,0,40,100,1
1,135,1.5,1,7,1.5,1,0,0,1,0,0,225,1
0,133,3.54,6,0,0.5,1,0,0,1,0,30,0,1
1,75,0.625,0,7,0.125,1,0,0,0,0,34,1,1
1,71,0.5,1,0,0.835,1,0,0,1,2,85,0,1
0,69,11.0,10,7,3.0,1,0,0,1,0,68,0,1
0,132,1.0,10,7,1.0,1,1,2,1,0,26,500,1
1,215,1.75,1,0,0.25,1,0,0,1,0,25,400,1
1,198,16.5,1,7,4.0,1,0,0,0,0,158,0,1
1,29,5.0,10,7,0.375,1,1,2,0,0,0,38,1
1,94,12.0,8,7,2.25,1,1,2,1,0,8,5,1
1,125,4.0,6,3,5.75,1,1,2,1,0,155,0,1
1,311,15.5,4,8,0.0,1,1,20,0,0,20,130,1
1,135,1.165,8,7,0.5,1,0,0,0,2,73,0,1
0,94,11.0,0,7,4.5,1,0,0,0,0,8,0,1
1,241,2.25,13,3,10.0,1,0,0,1,0,32,0,1
0,40,0.75,1,7,0.795,1,1,5,1,0,15,5,1
1,137,3.5,12,7,3.5,1,1,3,1,0,86,0,1
0,89,1.04,5,2,0.5,1,1,3,0,0,34,147,1
1,90,12.5,12,7,0.875,1,0,0,1,0,66,0,1
0,183,0.75,8,0,1.0,1,1,3,1,0,47,0,1
1,48,1.25,1,3,1.375,1,1,3,1,0,15,210,1
0,99,1.125,10,7,1.29,1,1,2,0,0,40,0,1
1,217,7.0,10,3,11.5,1,1,7,1,0,79,5,1
1,304,6.5,8,7,6.29,1,1,15,0,0,0,11202,0
1,323,7.04,9,7,14.0,1,1,6,1,0,95,1332,0
0,49,10.335,2,3,0.335,1,1,1,1,0,158,50,0
1,235,6.21,10,7,0.04,1,1,1,0,0,40,300,0
1,102,12.5,2,7,1.21,1,1,67,1,0,15,258,0
0,91,12.5,0,7,1.5,1,1,12,1,0,8,567,0
0,262,6.665,10,7,7.375,1,1,3,1,0,0,0,0
0,81,9.0,10,7,8.5,1,1,5,1,0,8,0,0
1,195,5.0,13,3,7.5,1,1,6,1,0,0,1000,0
1,278,2.5,9,0,2.5,1,1,12,1,0,112,2510,0
1,72,11.0,10,7,2.5,1,1,7,1,0,1,809,0
1,189,4.25,6,0,3.25,1,1,2,0,0,70,610,0
0,131,3.5,12,7,0.835,1,0,0,0,2,73,0,0
1,339,5.5,4,8,13.0,1,1,1,1,0,0,0,0
1,46,1.835,1,7,2.25,1,1,1,0,0,1,150,0
0,277,8.0,4,0,6.5,1,1,6,0,0,101,51100,0
1,205,5.0,1,0,2.5,1,1,6,0,0,0,367,0
1,172,5.5,10,3,5.5,1,1,12,1,0,111,1000,0
1,286,6.5,10,3,6.0,1,0,0,1,0,92,0,0
1,235,0.54,0,7,0.5,1,1,3,0,0,40,1000,0
1,181,2.75,9,7,4.25,1,1,6,0,0,42,0,0
0,31,9.5,12,7,1.625,1,1,6,1,0,109,600,0
0,116,13.5,10,3,5.0,1,1,2,0,0,0,5000,0
0,158,3.75,2,3,0.625,1,1,9,1,0,35,0,0
0,316,16.0,7,2,0.0,1,1,15,0,0,0,247,0
1,257,0.29,2,3,1.75,1,1,8,0,0,1,375,0
1,67,11.0,12,7,2.0,1,1,1,0,0,158,278,0
1,119,1.665,2,3,5.085,1,1,9,0,0,108,827,0
1,174,2.5,2,3,2.75,1,1,6,0,0,23,2072,0
1,78,1.5,10,7,2.375,1,1,3,1,0,0,582,0
0,238,7.54,10,3,8.0,1,1,14,0,0,0,2300,0
0,152,6.5,1,0,4.0,1,1,7,1,0,0,3065,0
0,305,15.0,1,7,5.5,1,1,14,0,0,0,2200,0
0,272,0.46,2,3,0.415,1,1,11,1,0,121,6,0
0,324,10.0,10,7,4.0,1,1,14,0,0,0,1602,0
1,213,6.5,9,3,4.25,1,1,12,1,0,164,0,0
1,76,2.5,1,7,1.085,1,1,11,1,0,146,2184,0
1,173,1.5,2,3,5.5,1,1,3,1,0,0,0,0
0,59,11.5,7,4,0.0,1,1,11,1,0,0,0,0
0,132,3.04,13,3,2.54,1,1,1,0,0,151,0,0
0,340,15.0,4,8,0.0,1,1,14,0,0,0,3376,0
1,126,2.0,8,3,4.165,1,1,2,1,0,35,0,0
1,186,0.08,9,0,0.04,1,1,1,1,0,73,2000,0
1,123,2.0,13,3,1.0,1,1,4,0,0,15,7544,0
1,261,2.0,9,7,1.75,1,1,2,1,0,0,15,0
1,95,1.71,13,7,1.665,1,1,1,1,0,106,20,0
1,166,1.75,4,3,0.04,1,0,0,1,0,105,0,0
0,331,16.5,10,7,11.0,1,0,0,1,0,44,10561,0
0,240,10.0,10,3,1.75,1,0,0,0,0,75,837,0
1,35,9.5,10,7,1.0,1,0,0,1,0,146,400,0
0,170,0.54,2,7,0.04,1,0,0,0,0,121,11177,0
1,210,3.25,10,3,9.0,1,0,0,1,0,2,639,0
1,215,1.125,3,7,1.5,0,0,0,1,0,118,0,0
0,95,2.54,0,7,0.25,1,0,0,1,0,98,0,0
1,244,0.0,1,0,15.0,1,0,0,0,0,0,0,0
1,314,12.5,8,3,8.0,1,0,0,1,0,59,2028,0
0,292,13.585,8,3,8.5,1,0,0,1,0,0,0,0
1,71,10.5,10,3,1.335,1,0,0,0,0,1,0,0
1,117,1.5,12,7,0.375,1,0,0,1,0,66,1065,0
1,94,12.5,0,7,3.0,1,0,0,1,2,39,0,0
0,107,8.665,0,7,1.415,1,0,0,0,0,23,150,0
0,26,9.25,10,7,1.21,1,1,4,0,0,146,540,0
1,43,8.17,0,7,1.96,1,1,14,0,0,146,158,0
1,278,0.29,1,0,15.0,1,1,20,0,0,0,15000,0
0,54,2.335,6,0,0.5,1,1,4,0,2,158,0,0
0,48,3.0,10,7,0.165,1,1,3,0,0,1,6,0
0,320,19.5,1,7,5.5,1,1,7,0,0,0,3000,0
0,68,5.665,10,7,2.585,1,1,7,0,0,11,3257,0
1,287,8.5,1,3,12.5,1,1,9,0,0,35,1655,0
1,236,6.5,0,0,3.5,1,1,1,0,0,0,500,0
1,239,5.0,1,7,5.0,1,1,7,0,0,0,3065,0
0,134,1.04,1,7,2.5,1,1,5,1,0,79,1430,0
0,177,4.625,10,3,1.625,1,1,2,0,0,0,0,0
1,55,10.5,1,7,3.0,1,0,0,1,0,0,0,0
1,250,0.205,6,3,5.125,1,0,0,0,0,110,0,0
1,248,0.96,13,7,2.5,1,0,0,0,0,136,600,0
1,71,1.585,12,7,3.085,1,1,6,0,0,158,0,0
1,190,4.04,6,0,8.5,1,1,7,1,0,38,0,0
1,129,5.04,1,0,1.5,1,1,8,1,0,17,7,0
1,178,3.165,13,7,3.165,1,1,3,1,0,102,0,0
1,282,7.625,12,3,15.5,1,1,12,0,0,0,790,0
1,122,2.04,0,7,2.0,1,1,3,1,0,98,560,0
1,70,10.04,13,7,0.04,1,1,9,0,0,146,396,0
0,85,0.5,10,3,1.25,1,1,1,0,0,0,678,0
0,244,1.0,6,0,2.25,1,0,0,1,0,0,300,0
1,92,2.75,1,7,2.25,1,1,6,0,0,0,600,0
0,49,10.25,10,7,0.71,1,1,2,1,0,132,0,0
1,206,2.125,12,7,0.085,1,1,1,0,0,134,1187,0
0,199,12.0,10,3,14.0,1,1,8,0,0,0,6590,0
0,343,0.0,1,7,0.0,0,0,0,0,1,0,0,0
1,134,9.335,10,3,5.665,1,1,6,0,0,103,168,0
1,197,2.5,8,7,4.5,1,1,7,0,0,19,1270,0
1,232,4.25,1,0,6.5,1,1,16,0,0,7,1210,0
1,230,5.875,2,3,10.0,1,1,14,1,0,108,0,0
1,87,6.625,3,7,5.5,1,0,0,1,2,1,0,0
1,330,14.5,5,2,18.0,1,1,15,1,0,0,1000,0
1,76,11.5,6,7,3.5,1,1,9,0,0,143,742,0
1,113,2.71,2,7,5.25,1,1,1,0,0,46,0,0
1,282,3.5,0,7,3.5,1,0,0,0,2,55,0,0
1,243,4.04,2,3,7.0,1,1,8,0,0,85,0,0
1,313,11.5,5,2,5.0,1,1,5,0,0,0,8851,0
1,307,9.625,4,7,8.665,1,1,5,0,0,0,0,0
0,32,9.25,1,7,1.0,1,1,4,1,0,158,500,0
0,293,12.54,0,7,2.29,1,1,3,1,0,22,0,0
1,338,11.0,4,8,20.0,1,1,7,1,0,49,0,0
0,17,9.0,0,7,1.375,1,0,0,1,0,0,0,0
0,31,9.54,0,7,0.085,1,0,0,0,0,1,0,0
0,217,5.5,10,7,0.125,1,0,0,1,0,54,0,0
1,78,4.0,1,0,0.25,1,0,0,1,0,23,0,0
1,22,5.5,8,7,0.5,1,0,0,0,0,158,0,0
0,69,8.46,13,7,2.46,0,0,0,0,0,25,0,0
1,39,0.375,10,7,2.0,1,1,2,1,0,158,0,0
1,64,11.0,2,7,0.665,1,0,0,0,0,1,0,0
1,96,3.5,2,7,0.625,1,1,7,0,0,0,7059,0
0,277,3.0,13,7,13.875,1,1,2,1,0,138,1704,0
1,180,1.75,13,3,4.5,1,1,4,1,0,63,857,0
1,123,13.75,12,7,5.75,1,0,0,1,0,131,500,0
0,325,21.0,6,0,10.0,1,1,13,0,0,0,6700,0
0,48,1.835,10,7,2.085,1,1,5,0,0,50,2503,0
1,108,0.25,6,0,0.0,1,0,0,1,0,0,0,0
1,55,7.5,0,7,1.415,1,1,1,0,0,158,9800,0
1,256,4.625,10,7,4.58,1,0,0,0,2,0,0,0
1,218,10.125,13,7,2.5,1,1,6,0,0,140,196,0
1,47,10.0,1,7,2.5,1,0,0,0,2,109,0,0
1,283,25.085,12,7,1.75,1,1,3,0,0,8,14,0
1,130,5.0,12,7,11.0,1,0,0,1,0,151,0,0
0,30,7.5,10,7,2.71,1,1,5,0,0,0,26726,0
1,27,2.0,6,7,1.5,1,1,2,0,0,8,300,0
1,178,3.04,1,3,2.04,1,1,1,1,0,34,18027,0
1,266,8.5,2,3,14.0,1,1,1,1,0,161,2000,0
0,39,0.21,10,3,0.29,1,1,11,0,0,158,99,0
1,89,12.75,1,0,4.75,1,1,2,0,0,154,444,0
1,61,11.0,13,7,0.29,1,1,6,0,0,9,0,0
1,237,21.5,4,8,20.0,1,1,11,0,0,0,1200,0
1,245,5.0,10,3,5.0,1,1,6,1,0,129,0,0
0,19,11.0,13,3,1.0,1,1,11,0,0,0,3000,0
1,77,11.125,13,3,0.46,1,1,1,0,0,1,0,0
1,71,0.625,8,7,0.25,0,0,0,0,0,102,2010,1
1,23,10.25,1,3,1.085,0,0,0,0,0,85,13,1
1,41,11.045,1,7,2.0,0,0,0,1,0,14,0,1
1,41,0.0,3,7,0.5,0,0,0,0,0,17,0,1
0,49,9.54,6,7,0.04,0,0,0,0,0,40,1000,1
0,89,1.75,1,7,0.165,0,0,0,0,0,13,0,1
1,173,2.335,3,3,5.75,0,0,0,1,0,77,0,1
0,301,0.0,5,2,0.0,0,0,0,0,0,0,0,1
0,282,1.335,6,6,0.335,0,0,0,0,0,0,120,1
0,46,10.5,13,3,0.0,0,0,0,1,0,21,32,1
1,295,0.585,5,2,0.0,0,0,0,0,0,18,0,1
1,12,0.085,1,7,0.04,0,0,0,0,0,15,722,1
1,25,1.21,4,1,0.0,0,0,0,0,0,1,0,1
0,166,6.0,3,7,1.25,0,0,0,0,0,69,0,1
1,329,1.54,10,7,0.125,1,0,0,1,0,66,0,0
1,21,0.165,10,5,0.21,0,0,0,0,0,40,40,0
1,216,0.0,1,7,0.0,0,0,0,0,1,0,0,0
1,170,2.5,1,7,1.25,0,0,0,1,0,73,0,1
1,22,6.75,9,7,0.04,0,0,0,0,0,15,0,1
1,219,10.125,8,7,0.125,0,0,0,0,0,23,0,1
1,154,2.5,2,3,2.25,0,0,0,1,2,89,0,1
1,28,5.71,3,7,0.54,0,0,0,0,0,8,0,1
0,34,5.415,6,3,0.29,0,0,0,0,0,158,484,1
0,23,10.0,10,3,0.165,0,0,0,0,0,89,0,1
1,90,13.5,5,2,0.0,0,0,0,0,0,0,0,1
1,8,0.835,9,7,0.085,1,0,0,0,2,40,0,1
1,53,0.875,1,3,0.25,0,0,0,0,0,73,204,1
1,84,0.585,2,3,0.125,0,0,0,0,0,60,1,1
1,18,4.46,1,7,0.25,0,0,0,0,2,158,0,1
0,10,1.25,10,7,0.25,0,1,1,0,0,3,98,1
1,78,12.625,1,7,0.125,0,1,2,0,0,0,5552,1
1,17,10.0,12,3,0.165,0,1,1,0,0,8,1,1
0,71,1.5,5,2,0.0,0,1,2,1,0,40,105,1
1,140,0.58,12,7,0.29,0,1,1,0,0,89,2803,1
1,31,0.415,1,7,0.165,0,1,1,0,0,40,1,1
0,60,1.75,7,4,0.0,0,0,0,0,0,23,0,1
1,75,0.75,9,7,0.5,0,0,0,1,2,85,0,1
0,24,10.0,12,7,1.0,0,1,1,0,0,8,1,1
1,99,0.54,12,7,0.165,0,1,1,0,0,69,444,1
1,201,2.415,12,7,0.125,0,1,2,0,0,50,1,1
0,6,0.335,5,2,0.0,0,1,1,0,0,23,126,1
0,165,3.125,5,2,3.04,0,1,2,1,0,40,4,1
1,341,9.0,5,2,4.0,0,1,1,0,0,151,6,1
1,175,2.5,0,7,1.75,0,1,2,1,0,153,0,1
1,9,2.75,0,7,0.665,0,1,1,0,0,158,21,1
1,65,12.125,1,7,3.335,0,1,2,1,0,34,173,1
0,322,2.0,5,2,6.5,0,1,1,0,0,0,10,1
1,24,0.165,3,7,0.25,0,0,0,1,2,73,0,1
1,80,1.0,1,7,0.5,0,0,0,1,2,73,0,1
0,4,2.875,10,7,0.085,0,0,0,0,0,8,0,1
0,91,13.665,10,3,1.5,0,0,0,0,0,73,1,1
1,287,26.335,5,2,0.0,1,0,0,1,0,0,0,1
1,81,2.75,5,2,4.5,0,0,0,0,0,23,25,1
1,28,10.29,5,2,0.415,0,0,0,0,0,158,0,1
1,124,1.29,8,3,0.25,0,0,0,1,2,15,0,1
0,163,3.0,7,4,0.0,0,0,0,0,0,23,20,1
0,92,4.5,12,7,1.0,0,0,0,1,0,95,6,1
1,33,1.75,1,7,2.335,0,0,0,1,0,5,6,1
0,9,0.21,0,7,0.125,0,0,0,0,0,40,1,1
0,28,10.0,3,7,0.415,0,0,0,0,0,158,42,1
1,8,0.0,0,7,0.25,0,0,0,0,0,146,0,1
1,75,0.75,9,7,0.5,1,0,0,1,2,85,0,1
1,53,0.25,1,3,0.25,0,0,0,0,0,73,204,1
1,16,22.0,5,6,0.0,0,0,0,1,1,124,100000,0
1,34,0.0,9,0,0.0,0,0,0,1,2,135,1,0
1,211,0.125,1,7,1.5,0,0,0,1,0,57,113,0
1,54,1.5,12,7,1.5,0,0,0,0,0,19,8,0
0,22,0.375,2,2,10.0,0,0,0,1,2,79,0,0
0,182,0.375,2,7,0.375,0,0,0,0,0,79,44,0
1,286,0.205,8,7,0.25,1,1,11,0,0,102,2732,0
1,182,1.25,12,7,1.165,0,0,0,0,0,8,0,1
0,140,1.085,13,7,1.0,0,0,0,0,0,73,13,1
1,148,1.085,1,7,0.04,0,0,0,0,0,29,179,1
1,240,3.5,6,0,0.5,0,0,0,0,2,6,0,1
1,194,2.5,12,7,3.0,0,0,0,0,2,40,0,1
1,71,4.0,6,7,0.085,0,0,0,1,0,113,0,1
1,46,0.0,1,7,0.0,0,0,0,0,1,0,0,1
0,179,2.5,1,7,2.5,0,0,0,1,0,0,2,1
1,186,2.5,1,7,1.0,0,0,0,0,0,127,16,1
0,97,12.5,3,7,1.0,0,0,0,1,0,34,1062,1
1,193,2.5,2,0,0.5,0,0,0,0,0,90,0,1
1,123,0.75,10,3,0.165,0,0,0,1,0,50,251,1
1,276,6.5,1,7,1.0,0,0,0,1,0,0,228,1
0,194,1.25,6,3,0.5,0,0,0,1,0,23,0,1
0,179,3.0,0,7,2.0,0,0,0,0,0,34,0,1
1,126,3.0,12,7,0.75,0,0,0,1,0,79,67,1
0,227,4.0,1,7,3.0,0,0,0,0,0,130,0,1
1,255,4.085,0,7,0.04,0,0,0,0,0,3,100,1
1,116,2.25,6,0,0.5,0,0,0,1,0,149,4000,1
