b,30.83,0,w,v,1.25,t,t.1,1,f,g.1,202,0.1,+
1,183,2.75,6,0,0.0,0,0,0,0,0,34,0,1
1,225,1.75,8,7,0.5,0,0,0,1,0,79,2,1
1,334,7.0,4,8,0.0,0,0,0,0,0,0,12,1
1,169,1.5,1,7,0.25,0,0,0,1,0,100,122,1
1,114,4.5,1,0,2.5,0,0,0,0,0,40,1210,1
1,335,0.54,1,7,0.585,1,1,3,1,0,34,0,1
1,125,1.5,12,7,2.25,0,1,1,1,0,1,3,1
0,108,2.0,7,4,0.0,0,0,0,1,0,71,1,1
1,65,0.585,5,2,0.0,0,0,0,0,0,1,0,1
1,69,11.5,9,7,1.5,0,0,0,1,0,0,4000,1
1,155,1.585,3,7,0.585,0,0,0,1,2,0,0,1
1,210,2.0,6,7,0.25,0,0,0,1,0,51,0,1
0,5,0.165,0,7,1.0,0,1,2,1,0,85,1,1
1,243,1.335,3,7,0.165,0,0,0,0,0,27,0,1
0,37,0.165,10,7,0.04,0,0,0,1,0,102,0,1
1,171,3.0,3,7,0.165,0,0,0,1,0,8,0,1
0,211,4.71,5,2,0.0,0,0,0,0,0,23,0,1
0,149,5.5,8,7,5.5,0,0,0,1,2,1,0,1
1,76,2.5,5,2,0.085,0,0,0,1,0,1,4208,1
1,115,0.54,8,2,0.0,0,0,0,0,0,1,0,1
1,11,0.335,8,7,0.29,0,0,0,0,2,40,0,1
1,88,2.0,4,1,0.165,0,1,2,0,0,85,1300,1
1,256,1.25,9,7,13.875,0,1,1,1,0,93,112,1
0,72,6.165,0,7,0.165,0,0,0,0,0,50,1000,1
1,231,1.71,9,7,0.165,0,0,0,0,2,110,0,1
0,82,11.5,8,3,3.0,0,0,0,1,0,39,16,1
1,56,0.75,11,5,0.75,0,0,0,1,0,13,2,1
1,176,2.5,12,7,7.0,0,0,0,1,0,73,0,1
1,110,13.0,4,1,0.0,0,0,0,1,0,15,1110,1
0,266,4.585,8,3,1.0,0,0,0,1,2,60,0,1
1,109,1.54,12,7,0.125,0,0,0,0,0,1,0,1
1,128,0.585,0,7,0.04,0,0,0,0,0,66,1004,1
0,50,0.5,4,1,1.0,0,0,0,0,0,66,0,1
1,134,14.5,3,7,0.125,0,0,0,0,0,0,286,1
1,48,0.835,1,7,2.0,0,0,0,1,2,60,0,1
1,189,1.335,6,0,0.125,0,0,0,1,0,121,4500,1
1,181,0.25,6,0,4.0,0,0,0,1,2,115,0,1
1,259,5.0,6,0,2.25,0,0,0,1,0,16,0,1
0,71,7.0,1,7,0.165,0,0,0,0,0,23,0,1
0,87,2.5,6,0,4.5,0,0,0,0,0,40,456,1
0,319,4.25,5,2,5.0,0,0,0,1,0,0,4,1
1,64,11.46,8,7,1.585,0,0,0,1,0,1,1212,1
1,185,5.5,1,7,1.5,0,0,0,1,0,146,0,1
1,70,1.5,0,7,0.54,0,0,0,1,0,8,67,1
1,53,0.0,1,7,0.5,0,0,0,1,2,0,0,1
1,113,14.585,6,0,0.0,0,0,0,1,0,33,0,1
1,74,0.17,9,7,0.085,0,0,0,0,2,0,0,1
1,1,7.0,4,7,1.0,0,0,0,0,0,147,0,1
1,235,5.0,6,0,0.21,0,0,0,0,0,142,0,1
1,121,12.5,0,0,0.25,0,0,0,1,0,153,0,1
1,91,0.54,9,7,1.0,0,0,0,1,0,8,1,1
1,243,1.25,12,7,0.25,0,0,0,0,0,0,195,1
0,177,1.625,3,7,0.54,0,0,0,1,0,0,0,1
1,144,2.04,13,3,0.04,0,0,0,0,0,10,1,1
0,82,0.585,5,2,0.125,0,0,0,0,0,8,87,1
1,108,12.5,8,3,1.25,0,0,0,1,0,0,17,1
1,156,2.085,1,7,0.085,0,0,0,0,0,79,0,1
1,49,5.085,7,7,0.29,0,0,0,0,0,15,184,1
1,136,0.375,1,7,0.29,0,0,0,0,0,50,140,1
0,300,6.5,6,0,3.085,0,0,0,1,0,154,0,1
0,71,0.335,10,7,0.75,0,0,0,0,2,23,0,1
1,185,5.085,6,0,1.085,0,0,0,1,0,130,0,1
0,342,6.0,5,2,0.0,0,0,0,0,2,0,0,1
0,238,8.125,8,7,0.165,0,1,2,0,0,0,18,1
0,38,0.665,1,7,1.0,0,1,1,0,0,41,2,1
1,5,3.125,12,7,0.085,0,1,1,0,0,0,6,1
1,12,0.25,10,7,0.335,0,1,4,0,0,23,8,1
1,158,2.835,5,2,0.0,0,1,5,0,0,32,146,1
1,96,3.0,1,7,1.25,0,1,1,0,0,0,22,1
0,71,0.79,6,7,0.085,0,0,0,0,0,17,0,1
1,239,1.5,6,0,0.0,0,0,0,0,2,79,0,1
1,66,0.46,8,7,0.125,0,0,0,1,0,73,55,1
0,66,1.25,5,2,3.25,0,0,0,0,0,73,0,1
1,69,0.125,8,7,0.125,0,0,0,0,0,40,70,1
1,82,1.79,1,7,0.54,0,0,0,1,0,14,1,1
1,221,0.705,1,7,0.375,0,1,2,0,0,53,500,1
0,112,2.54,5,2,0.0,0,0,0,1,0,34,60,1
1,196,2.5,6,7,1.0,0,0,0,1,0,45,0,1
1,46,1.085,10,7,1.5,0,0,0,0,0,3,7,1
1,139,1.25,12,7,1.75,0,0,0,0,0,40,0,1
1,108,0.835,2,7,1.165,0,0,0,0,0,1,0,1
1,182,2.165,1,7,1.5,0,0,0,0,1,8,0,1
1,90,1.25,1,7,0.25,0,0,0,0,0,4,0,1
0,123,2.04,12,7,0.25,0,0,0,1,0,34,50,1
1,215,0.835,4,7,0.04,0,0,0,0,0,8,5,1
1,289,2.29,5,2,0.29,0,0,0,0,0,40,3,1
1,181,0.335,2,7,0.085,0,0,0,0,0,34,0,1
1,299,3.0,5,2,1.5,0,0,0,0,0,34,4,1
1,74,3.165,1,7,0.165,0,0,0,0,0,23,1058,1
1,61,1.54,8,7,0.085,0,0,0,1,0,94,0,1
1,97,1.0,0,7,0.5,0,0,0,0,0,40,0,1
1,326,2.71,1,7,2.415,0,0,0,1,0,85,0,1
1,33,0.0,5,2,0.0,0,1,4,0,0,123,1,1
1,38,0.585,5,2,0.0,0,1,3,0,0,92,769,1
0,306,0.165,5,2,0.0,0,0,0,1,2,148,27,1
0,118,1.25,5,2,0.0,0,1,1,0,0,162,300,1
1,105,0.875,8,7,0.375,0,1,2,1,0,31,3,1
1,76,0.0,8,7,1.0,0,1,11,0,2,0,0,1
1,233,5.0,5,2,0.0,0,1,2,0,0,28,1,1
1,153,2.71,9,7,0.125,0,0,0,1,2,158,0,1
1,13,3.0,8,7,0.04,0,0,0,1,0,23,40,1
0,18,0.0,7,2,0.0,0,0,0,0,0,160,0,1
0,71,11.25,5,2,0.0,0,0,0,0,0,0,5200,1
1,10,0.125,1,7,0.165,0,0,0,0,0,13,0,1
0,120,1.665,5,2,0.0,0,0,0,0,0,89,1,1
1,158,1.125,5,2,0.0,0,1,1,0,0,166,19,1
1,41,7.0,1,7,0.5,0,0,0,0,0,0,0,1
1,71,3.0,6,0,7.0,0,0,0,0,0,0,1,1
1,232,1.625,1,7,1.5,0,0,0,0,0,0,316,1
1,208,4.25,10,7,3.5,0,0,0,0,0,125,50,1
1,143,0.665,12,7,0.25,0,0,0,1,0,79,0,1
1,303,1.5,3,7,3.75,0,0,0,1,0,0,350,1
1,204,18.125,12,7,0.085,0,0,0,0,0,85,3552,1
1,191,0.0,1,7,0.0,0,0,0,0,1,0,0,1
1,142,0.75,1,7,0.04,0,0,0,0,0,60,0,1
1,204,5.5,6,0,5.0,0,0,0,0,0,45,687,1
1,102,0.29,1,7,1.5,0,0,0,1,0,23,0,1
0,89,2.415,1,7,0.0,0,0,0,0,0,8,0,1
1,85,0.875,9,7,0.085,0,1,4,0,0,64,1950,1
1,62,0.5,1,7,0.125,0,0,0,0,0,95,0,1
0,209,0.29,5,2,0.0,0,1,10,0,0,40,18,1
0,75,1.835,7,4,0.0,0,1,1,0,0,40,53,1
0,122,3.0,9,7,2.79,0,1,1,1,0,73,10,1
1,157,3.085,1,7,2.5,0,1,2,1,0,23,41,1
0,151,1.375,12,3,0.04,0,1,3,0,0,0,33,1
1,64,2.335,8,7,0.75,0,0,0,0,0,34,0,1
1,9,4.085,6,3,0.415,0,0,0,1,0,8,0,1
0,62,11.665,8,3,0.085,0,0,0,0,0,85,5,1
1,52,4.125,6,3,0.04,0,0,0,0,0,15,100,1
1,15,6.5,6,7,0.125,0,0,0,0,0,146,100,1
1,34,4.0,6,7,1.0,0,0,0,1,0,95,1000,1
1,48,0.415,1,7,0.125,0,0,0,0,0,0,44,1
1,114,2.0,3,7,0.75,0,0,0,1,0,158,0,1
1,82,0.835,6,3,0.085,0,0,0,1,0,50,5,1
1,228,2.5,6,3,10.0,0,0,0,1,2,40,0,1
1,72,11.5,6,7,0.415,0,0,0,0,0,0,0,1
1,111,2.71,1,7,0.085,0,0,0,0,2,158,0,1
0,11,0.5,6,7,0.165,0,1,6,1,0,60,35,1
1,81,3.165,8,7,0.415,0,1,1,1,0,73,80,1
0,14,9.5,0,7,1.75,0,1,10,1,0,0,10,1
1,83,0.415,1,7,0.04,0,1,2,0,0,10,6,1
1,192,1.08,9,7,1.165,0,0,0,0,2,72,0,1
1,345,19.0,5,2,0.04,0,1,2,0,0,0,351,1
1,128,0.125,8,7,0.085,0,0,0,0,0,48,2100,1
1,89,13.335,0,7,0.04,0,0,0,1,0,8,475,1
1,31,3.54,5,2,0.0,0,0,0,1,0,34,1,1
1,268,1.0,10,7,0.125,0,0,0,1,0,67,0,1
0,275,0.75,10,3,2.75,1,1,1,0,0,88,892,0
1,86,0.875,10,7,4.625,1,1,2,1,0,140,2000,0
1,229,9.5,9,7,6.5,1,1,14,0,0,60,4607,0
0,47,11.835,1,3,6.0,1,0,0,0,0,89,0,0
0,31,4.415,1,3,3.0,1,0,0,0,0,60,0,0
1,34,9.5,12,7,1.5,1,0,0,0,0,8,2206,0
0,94,0.875,13,3,1.04,1,0,0,1,0,23,5860,0
1,43,9.25,1,7,1.665,1,1,3,1,0,109,28,0
1,103,0.5,1,7,1.46,1,1,5,1,0,83,0,0
1,46,7.0,1,7,1.625,1,1,3,0,0,40,1391,0
1,71,4.0,13,7,5.0,1,1,3,1,0,76,2279,0
1,226,5.0,2,7,3.5,1,1,10,1,0,0,0,0
0,336,0.165,5,2,0.0,1,1,1,0,0,57,100,0
1,129,5.125,13,7,4.75,1,1,2,0,0,115,7,0
0,135,3.75,1,7,1.085,1,1,1,1,0,99,0,0
1,159,19.5,1,7,7.0,1,1,16,0,0,0,5000,0
0,32,9.0,0,7,0.75,1,1,2,0,0,161,591,0
0,91,3.0,10,3,1.835,1,1,19,0,0,0,500,0
0,154,12.0,1,7,2.0,1,1,1,0,0,50,19,0
1,51,4.79,12,7,2.25,1,1,1,1,0,158,300,0
1,0,4.0,12,7,1.75,1,1,2,1,0,8,1000,0
0,270,4.0,7,4,0.0,1,0,0,0,0,1,960,0
0,264,0.0,1,7,2.5,1,0,0,0,0,0,0,0
1,44,9.96,4,1,0.0,1,0,0,0,0,0,0,0
1,71,2.54,1,3,2.585,1,0,0,0,0,0,0,0
1,71,10.5,13,7,6.5,1,0,0,0,0,0,0,0
0,332,5.0,0,7,4.0,1,1,4,0,0,0,99,0
1,6,0.75,1,7,1.75,1,1,5,1,0,93,690,0
0,128,0.375,10,7,0.585,1,1,4,0,0,158,0,0
1,228,1.71,13,7,0.125,1,1,5,1,0,130,0,0
1,46,7.5,8,7,1.5,1,1,1,0,0,23,234,0
0,146,5.29,4,1,2.25,1,1,5,1,0,168,500,0
1,73,3.0,9,7,1.29,1,1,1,0,0,66,800,0
0,69,8.5,10,7,1.75,1,1,10,0,0,158,990,1
0,133,1.665,10,7,2.415,1,0,0,1,0,121,0,1
1,267,1.5,1,7,2.5,1,0,0,1,0,15,0,1
1,247,1.75,8,7,0.21,1,0,0,0,0,23,0,1
0,320,0.335,6,0,1.0,1,0,0,1,0,62,2197,1
0,312,7.08,8,3,6.75,1,1,3,1,0,1,50,1
1,260,25.21,10,3,0.21,1,1,1,0,0,157,90,1
0,98,2.085,1,3,2.75,1,0,0,1,0,95,1,1
0,90,0.67,0,3,1.75,1,0,0,0,0,110,0,1
1,259,2.25,6,0,0.75,1,0,0,0,0,144,0,1
1,241,0.835,5,2,0.0,1,0,0,0,0,12,1,1
1,164,2.5,0,7,7.5,1,0,0,1,0,141,0,1
0,184,1.585,5,2,0.0,1,0,0,0,0,85,0,1
0,93,1.25,5,2,0.0,1,0,0,0,0,158,0,1
1,198,3.165,13,3,3.75,1,0,0,1,0,150,0,1
1,188,1.75,12,0,0.25,1,0,0,1,0,24,0,1
1,347,5.5,1,7,0.54,1,0,0,0,0,0,340,1
1,36,1.5,2,7,2.0,1,0,0,1,0,1,20,1
1,255,3.0,6,0,1.0,1,0,0,0,0,0,200,1
1,39,10.0,8,3,0.835,1,0,0,1,0,15,0,1
1,206,3.79,12,7,1.165,1,0,0,1,0,40,0,1
1,147,1.04,6,0,0.5,1,1,10,1,0,13,28,1
1,263,11.0,3,7,1.5,1,0,0,0,2,0,0,1
1,82,0.46,12,7,2.625,1,1,6,1,0,43,347,1
1,84,1.5,3,3,1.875,1,1,6,0,0,40,327,0
1,178,1.0,13,7,0.75,1,1,7,1,0,89,4071,0
1,284,12.0,9,7,16.0,1,0,0,0,2,4,0,0
1,346,22.29,4,8,12.75,1,1,1,1,0,0,109,0
1,296,10.0,6,0,0.0,1,1,11,0,0,0,1249,0
1,193,15.0,11,5,5.375,1,1,9,1,0,0,134,0
1,222,3.335,12,7,4.0,1,1,14,0,0,104,1344,0
0,68,11.25,13,3,0.75,1,1,4,0,0,0,321,0
1,249,0.42,1,3,0.21,1,1,6,0,0,50,948,0
1,141,4.5,12,7,7.5,1,1,2,1,0,87,0,0
0,168,1.46,12,7,1.085,1,1,16,0,0,8,2079,0
1,297,0.04,13,3,0.04,1,0,0,0,0,0,3000,0
0,73,2.29,10,3,2.29,1,1,7,1,0,15,2384,0
0,94,12.33,2,3,3.5,1,1,6,0,0,110,458,0
1,114,1.125,13,3,1.25,1,0,0,0,0,0,5298,0
1,79,1.5,1,3,1.415,1,0,0,0,0,116,200,0
1,88,12.335,10,3,1.585,1,0,0,1,0,8,0,0
1,252,5.04,10,3,12.75,1,0,0,1,0,162,0,0
0,50,3.0,0,7,0.04,1,0,0,0,0,1,0,0
1,76,11.5,12,3,2.125,1,1,11,1,0,76,284,0
0,96,2.875,13,3,0.875,1,0,0,0,0,95,0,0
1,258,0.375,1,7,0.375,1,1,8,1,0,79,162,0
0,201,0.915,0,7,0.75,1,1,4,0,0,0,1583,0
1,328,2.75,12,7,1.75,1,1,5,1,0,146,58,0
1,51,3.0,3,7,1.085,1,1,8,1,0,23,1,0
1,62,0.54,13,7,0.04,1,1,1,1,0,159,59,0
0,337,14.0,5,2,0.0,1,1,11,1,0,0,1400,0
0,45,10.0,1,3,1.0,1,1,4,0,0,134,1465,0
1,169,0.165,1,3,3.25,1,1,1,1,0,119,8000,0
1,148,0.5,1,7,1.75,1,1,11,0,0,84,540,0
1,96,6.0,1,7,1.0,1,1,3,0,0,0,0,0
1,228,1.625,1,7,1.5,1,1,10,0,0,36,4700,0
1,227,6.0,9,7,1.29,1,1,5,1,0,3,1097,0
1,162,0.83,13,7,1.335,1,1,8,1,0,80,3290,0
1,242,0.04,4,7,0.04,0,1,1,0,2,144,0,0
1,285,4.25,9,7,0.125,1,0,0,1,0,53,0,0
1,172,9.0,12,3,5.25,1,0,0,1,0,21,0,0
0,127,15.0,4,8,0.0,1,0,0,0,0,0,13212,0
1,344,17.75,5,2,0.0,1,0,0,1,0,0,0,0
1,336,20.0,13,3,17.5,1,1,9,1,0,0,1000,0
1,298,15.0,1,7,8.5,1,1,9,0,0,0,0,0
1,113,1.75,1,7,1.0,1,1,5,1,0,23,5777,0
1,98,0.58,1,7,0.29,1,1,7,1,0,166,5124,0
1,148,6.5,2,7,3.125,1,1,8,0,0,87,1200,0
1,117,0.75,1,3,4.25,1,1,3,1,0,83,150,0
1,77,0.0,1,7,0.0,0,0,0,0,1,0,0,0
1,187,5.25,12,7,0.085,0,0,0,1,0,76,6,0
1,223,0.21,8,7,0.085,1,0,0,1,0,73,0,0
1,103,0.75,1,0,0.25,1,0,0,0,0,91,23,0
0,271,3.0,1,7,2.375,1,1,8,1,0,107,4159,0
0,57,6.0,0,7,2.5,1,1,3,0,0,158,918,0
1,42,0.125,10,7,1.0,0,1,1,0,0,60,768,0
1,47,2.415,1,7,2.0,1,1,11,1,0,40,3000,0
0,140,0.46,8,7,0.54,1,1,4,0,0,102,500,0
1,253,1.75,1,7,0.0,0,0,0,1,0,19,1,1
1,144,1.25,8,7,0.25,0,0,0,0,0,52,0,1
1,42,0.25,10,7,0.125,0,0,0,0,0,40,0,1
1,80,0.585,1,3,0.085,1,0,0,0,0,34,0,1
0,141,1.75,8,7,1.25,0,0,0,1,0,73,0,1
1,7,0.04,1,7,0.04,0,0,0,0,0,0,0,0
1,170,3.5,8,7,0.5,0,0,0,1,0,57,0,1
1,71,0.04,3,7,4.25,0,0,0,1,0,127,0,1
1,280,4.165,13,0,0.085,0,0,0,1,0,140,0,1
1,41,1.25,8,7,0.125,0,0,0,0,0,15,4,1
1,122,3.25,10,3,5.085,0,1,2,1,0,97,1,1
1,63,0.79,12,7,0.29,0,1,1,0,0,115,283,1
1,35,10.915,1,0,0.585,0,1,2,1,0,40,7,1
0,220,4.415,1,7,0.125,0,0,0,0,0,23,0,1
1,139,1.25,1,3,0.25,0,1,2,1,0,110,108,1
1,71,0.75,6,7,1.585,0,1,1,1,0,110,9,1
1,169,14.0,5,2,0.0,0,1,2,0,0,23,1,1
1,141,4.75,9,7,2.0,0,1,1,1,0,127,68,1
1,26,10.415,0,7,0.125,1,0,0,0,0,8,375,1
1,65,2.25,6,7,0.125,0,0,0,0,0,23,10,1
1,71,0.165,1,4,2.25,0,0,0,1,2,0,0,0
0,101,0.0,1,7,0.0,0,0,0,0,1,0,0,0
1,31,0.0,10,7,0.665,0,0,0,0,0,23,1,1
1,58,0.79,2,7,0.665,0,0,0,0,0,23,0,1
1,83,12.0,1,7,2.085,0,0,0,0,2,158,0,1
1,63,7.835,6,0,0.165,0,0,0,1,0,0,0,1
1,203,2.54,5,2,0.0,0,0,0,0,0,0,1000,1
1,138,13.0,3,3,0.5,0,0,0,0,0,54,0,1
0,38,0.665,12,7,1.665,0,0,0,0,0,50,5,1
0,74,1.25,10,7,0.25,0,0,0,1,0,8,809,1
0,119,0.29,9,3,0.125,0,1,1,1,0,69,108,1
0,224,1.5,5,2,0.0,0,0,0,0,0,156,0,1
1,171,2.165,8,2,0.0,0,0,0,0,0,8,0,1
0,83,0.71,12,7,0.25,0,1,1,1,0,60,4,1
1,23,2.46,1,5,0.96,0,1,2,1,0,23,587,1
1,241,0.5,9,7,0.5,0,0,0,1,0,12,0,1
1,37,9.585,0,7,0.79,0,0,0,0,0,158,350,1
1,133,3.625,0,7,0.25,0,0,0,1,0,1,0,1
1,200,0.75,8,7,1.5,0,0,0,1,0,56,0,1
1,187,2.75,6,0,2.5,0,0,0,1,0,57,200,1
1,178,2.25,2,7,3.5,0,0,0,1,0,40,141,1
1,161,0.75,0,7,3.5,0,0,0,1,0,85,0,1
0,304,7.0,0,3,3.0,0,0,0,0,0,0,0,1
1,204,0.42,12,7,0.29,0,0,0,1,0,81,2,1
1,213,2.665,2,7,0.165,0,0,0,1,0,0,501,1
0,50,8.5,1,7,0.165,0,0,0,0,0,0,351,1
1,85,9.0,0,7,0.25,0,0,0,1,0,0,0,1
1,101,0.335,8,3,3.5,0,0,0,1,0,89,0,1
0,197,3.75,5,2,0.0,0,1,6,0,0,0,200,1
1,281,3.75,6,0,1.0,0,0,0,0,0,1,2,1
0,3,7.625,10,7,0.125,0,1,1,1,0,0,160,1
0,69,0.415,6,7,0.335,0,0,0,1,2,17,0,1
1,57,11.5,6,7,0.5,1,0,0,1,0,1,68,1
0,82,0.83,10,7,0.415,0,1,1,1,0,40,11,1
0,52,5.0,5,2,0.0,0,0,0,0,0,0,0,1
1,102,3.25,1,3,2.29,0,1,1,1,0,114,21,1
0,225,1.665,0,7,0.25,0,0,0,0,0,0,390,1
0,2,0.375,1,7,1.0,0,0,0,0,0,8,18,1
0,133,3.75,1,7,0.25,0,1,1,1,0,109,154,1
1,66,9.0,0,7,0.085,0,0,0,0,0,0,0,1
1,144,3.5,1,7,0.165,0,0,0,0,0,48,0,1
0,81,1.5,12,7,0.875,0,0,0,1,0,23,0,1
1,167,4.0,2,7,1.5,0,0,0,1,0,8,0,1
1,157,1.5,12,7,0.04,0,0,0,0,2,23,0,1
1,164,0.04,9,7,0.04,0,0,0,0,0,0,0,1
0,60,11.75,1,7,0.25,0,0,0,1,0,34,0,1
0,20,0.54,1,7,1.75,0,1,1,1,0,158,5,1
1,150,0.5,3,3,0.085,0,0,0,1,2,62,0,1
1,299,2.04,5,2,1.5,0,0,0,0,0,8,1,1
1,274,5.835,12,7,5.5,0,0,0,0,0,128,150,1
1,104,12.835,2,7,0.5,0,0,0,0,0,0,2,1
0,294,0.835,0,7,0.5,0,0,0,1,0,60,117,1
1,140,2.0,4,3,2.0,0,0,0,0,0,65,17,1
0,213,2.5,6,3,0.21,0,0,0,0,0,66,246,1
0,247,1.04,0,7,0.665,0,0,0,0,0,60,237,1
0,153,10.665,10,3,0.085,0,1,12,1,0,11,3,1
1,36,7.25,9,7,0.04,0,1,1,0,0,1,1,1
0,20,10.21,5,2,0.0,0,0,0,0,0,0,50,1
0,42,1.25,1,7,0.0,0,0,0,0,0,0,0,1
1,37,0.29,8,7,0.29,0,0,0,0,0,73,364,1
1,125,1.0,3,3,3.0,0,0,0,0,0,32,537,1
1,12,3.29,6,7,0.335,0,0,0,1,0,15,2,1
1,207,0.75,3,7,0.585,0,0,0,0,0,60,3,1
1,239,3.29,9,7,3.5,0,0,0,1,2,110,0,1
1,52,10.085,4,3,1.25,0,0,0,0,0,66,0,1
0,71,0.75,1,7,2.0,0,1,2,1,0,40,394,1
0,97,13.5,5,2,2.0,0,1,1,1,0,40,1,1
1,20,0.205,0,7,0.04,0,0,0,0,0,73,750,1
1,196,3.375,1,3,8.29,0,0,0,1,0,0,0,1
